id	conclusion	premises	stance	rank
S54d229b5-A45ebba0	School uniforms are often expensive	In many countries, parents can apply for help with the cost of school uniform. For example, in the U.K., parents who don't earn a lot of money can get money from the government to help pay for their child's school uniform[13] . In Australia, the Australian Scholarships Group, which specialises in helping parents save money when it comes to their children's education, has tips for parents to get their child's uniform cheaper.[14] Also, parents would probably have to spend a lot more money if their children didn't wear a uniform to school, because they would have to buy them more casual clothes. Since children don't like to wear the same thing too often (in case they get bullied), parents would have to spend a lot of money making sure their children have lots of different outfits. improve this  	CON	11
S54d229b5-Ac8008ae0	School uniforms are often impractical or uncomfortable	School uniforms are often not very comfortable or practical. In state schools (schools for which parents don't have to pay fees) in the U.K., for example, girls often have to wear dresses or skirts, when they might feel more comfortable in trousers, and boys often have to wear button-up shirts and ties, which can also be uncomfortable for active children[7]. In independent schools, uniforms are often even more impractical and uncomfortable, with blazers or even tailcoats for the children to wear[8].	PRO	12
S54d229b5-A9481ec40	School uniforms contribute to the sense of school unity	"Schools that have a uniform often say that they do so because wearing a uniform helps their students feel a sense of unity and pride in their school (e.g., Sacred Heart Catholic School, 2010)[15]. The headmistress of Fulham Cross School in London, England, has been quoted as saying that introducing a uniform at her school gave students ""an incredible sense of pride""; after the introduction of a school uniform, GCSE passes at her school rose from 42 to 53 per cent[16]. This sense of unity is especially important on school trips, where teachers need to be able to tell which children belong to their school, so that no one gets lost.  "	PRO	13
S54d229b5-A5817d33a	Individuality and creativity should be encouraged	"Article 19 of The Universal Declaration of Human Rights states that ""Everyone has the right to freedom of opinion and expression""[18]. Children's freedom of expression is restricted by school uniforms, because children who have to wear the same clothing as every other child in their school are not able to express their individuality and creativity. We should get rid of school uniform so that all children can express themselves freely."	PRO	14
S54d229b5-Ab10b3270	School uniforms create a sense of equality	School catchment areas are diverse and in private schools, some children are there on a scholarship. So, without uniforms there are clear indicators of wealth between what children wear. This makes poorer children stand out, (or even possibly the reverse). Children can then be bullied for being different, which diminishes a child's enjoyment of school. A study in New York has shown that 84% of parents think uniforms promote equality, and 89% of guidance counselors think uniforms help teach children to be more accepting of others who are less fortunate[3]. This perception among parents will help create the same perception among their children. This is also likely to translate to the teachers who will therefore treat their pupils more equally. improve this  	PRO	15
S54d229b5-A7ca7dce	Dress Codes instead of school uniform	Dress codes are a half-way house that does not work. It does not make students look at all uniform and it does not show what school they are from. In the United States there has been a move away from allowing either no uniform or dress codes towards having school uniforms.[	CON	16
S54d229b5-A32b15a35	Individuality and creativity should be encouraged	"Schools can foster creativity and individuality without getting rid of school uniform. There are many schools with a uniform which still support creativity and individuality with ""Child Initiated Independent Learning"", and other schemes which encourage children to think for themselves [19, 20]. Also, if children are participating in creative activities like art, it is surely better for them to wear sensible clothes, and it's easier to make sure all children are wearing sensible clothes if they all have to wear the same uniform.  "	CON	17
S17e66c01-Ae2a2f155	this house will ban school uniforms	Hello Today there are 2 rounds 1. acceptance 2. body Definition Ban: Not allow School Uniforms: A special kind of clothing that is worn by all the members of a group or organization in school no forfeiting or you lose (judges should be aware of that)	CON	18
S54d229b5-Ab5b58064	School uniforms are often expensive	If a school has a uniform, parents are expected to buy it, and then buy a new one every time their child outgrows the last. This can be expensive. It has been reported that parents in South Africa[10], Australia[11], and the U.K[12]. have to pay a lot of money for their children's school uniforms, and it is probably the same in other countries too.  	PRO	19
S54d229b5-A96be8b58	Ban School Uniforms - Junior	School uniforms contribute to the sense of school unity	CON	20
S54d229b5-A53326712	Ban School Uniforms - Junior	School uniforms are often expensive	PRO	21
S54d229b5-Ad6e5baa	Ban School Uniforms - Junior	School uniforms encourage discipline	CON	22
S54d229b5-A9105821f	Ban School Uniforms - Junior	School uniforms create a sense of equality	CON	23
S54d229b5-A579671d2	Ban School Uniforms - Junior	Dress Codes instead of school uniform	PRO	24
S54d229b5-Acf81ec88	Ban School Uniforms - Junior	School uniforms are often impractical or uncomfortable	PRO	25
S54d229b5-Acbf753c7	Ban School Uniforms - Junior	Individuality and creativity should be encouraged	PRO	26
S17e66c01-A7153db78	this house will ban school uniforms	Hello ! Thank you for opening this argument and I am sure that this will be an intriguing debate :) I look forward to your contribution in the second round !	PRO	27
